customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
23443,14,7,1354.61,4,4,4,444,12,STARS
22448,22,20,1350.59,4,4,4,444,12,STARS
23474,329,4,1342.28,3,4,4,344,11,BIG SPENDER
8736,54,9,1335.55,4,4,4,444,12,STARS
1590,109,11,1327.23,4,4,4,444,12,STARS
5436,11,12,1324.59,4,4,4,444,12,STARS
2432,32,12,1323.08,4,4,4,444,12,STARS
4881,121,5,1319.83,4,4,4,444,12,STARS
5868,1,40,1318.37,4,4,4,444,12,STARS
6057,34,55,1317.41,4,4,4,444,12,STARS
15135,145,12,1307.53,4,4,4,444,12,STARS
1909,3,8,1302.81,4,4,4,444,12,STARS
22013,10,48,1294.74,4,4,4,444,12,STARS
15797,32,26,1290.53,4,4,4,444,12,STARS
244,20,25,1287.41,4,4,4,444,12,STARS
1794,1,39,1275.18,4,4,4,444,12,STARS
10516,12,21,1256.38,4,4,4,444,12,STARS
2388,31,27,1248.99,4,4,4,444,12,STARS
3195,0,26,1248.46,4,4,4,444,12,STARS
17477,117,17,1248.14,4,4,4,444,12,STARS
8638,31,18,1244.85,4,4,4,444,12,STARS
1161,100,11,1244.34,4,4,4,444,12,STARS
6285,26,21,1241.52,4,4,4,444,12,STARS
16026,63,25,1240.69,4,4,4,444,12,STARS
10703,22,19,1235.99,4,4,4,444,12,STARS
16438,27,9,1235.23,4,4,4,444,12,STARS
21254,47,12,1228.36,4,4,4,444,12,STARS
19802,44,14,1227.52,4,4,4,444,12,STARS
22685,115,21,1226.33,4,4,4,444,12,STARS
13563,18,15,1220.62,4,4,4,444,12,STARS
10603,118,15,1208.73,4,4,4,444,12,STARS
18580,71,19,1203.22,4,4,4,444,12,STARS
19808,28,9,1199.86,4,4,4,444,12,STARS
15754,7,32,1195.72,4,4,4,444,12,STARS
18423,50,17,1188.88,4,4,4,444,12,STARS
13497,55,20,1183.82,4,4,4,444,12,STARS
1722,0,52,1182.27,4,4,4,444,12,STARS
16211,20,24,1181.87,4,4,4,444,12,STARS
17796,160,13,1177.85,4,4,4,444,12,STARS
19573,124,14,1170.47,4,4,4,444,12,STARS
15120,28,27,1169.41,4,4,4,444,12,STARS
1868,7,25,1168.37,4,4,4,444,12,STARS
17324,5,29,1165.96,4,4,4,444,12,STARS
15105,57,9,1165.73,4,4,4,444,12,STARS
10197,20,3,1164.76,4,3,4,434,11,BIG SPENDER
16415,32,18,1157.47,4,4,4,444,12,STARS
5551,44,21,1156.62,4,4,4,444,12,STARS
14039,139,15,1156.47,4,4,4,444,12,STARS
4532,19,20,1155.14,4,4,4,444,12,STARS
485,62,15,1154.78,4,4,4,444,12,STARS
2941,139,12,1150.33,4,4,4,444,12,STARS
5303,14,27,1148.04,4,4,4,444,12,STARS
17041,34,12,1140.31,4,4,4,444,12,STARS
12304,489,5,1134.15,2,4,4,244,10,BIG SPENDER
2215,3,16,1126.26,4,4,4,444,12,STARS
15871,7,13,1125.89,4,4,4,444,12,STARS
9939,142,15,1124.75,4,4,4,444,12,STARS
1760,19,47,1123.69,4,4,4,444,12,STARS
7991,60,13,1121.91,4,4,4,444,12,STARS
9177,12,42,1120.63,4,4,4,444,12,STARS
20585,12,14,1120.61,4,4,4,444,12,STARS
18847,480,1,1119.68,2,1,4,214,7,BIG SPENDER
4983,16,8,1118.09,4,4,4,444,12,STARS
8496,10,33,1112.6,4,4,4,444,12,STARS
1980,27,37,1110.22,4,4,4,444,12,STARS
17151,16,13,1107.82,4,4,4,444,12,STARS
111,10,16,1107.04,4,4,4,444,12,STARS
7801,13,15,1105.74,4,4,4,444,12,STARS
23286,55,15,1100.49,4,4,4,444,12,STARS
16833,22,25,1094.2,4,4,4,444,12,STARS
7631,301,7,1084.11,3,4,4,344,11,BIG SPENDER
13931,49,7,1079.82,4,4,4,444,12,STARS
11675,142,6,1078.77,4,4,4,444,12,STARS
22461,37,18,1068.73,4,4,4,444,12,STARS
20307,57,9,1063.5,4,4,4,444,12,STARS
4410,53,4,1062.42,4,4,4,444,12,STARS
4518,115,36,1053.91,4,4,4,444,12,STARS
17339,11,21,1053.37,4,4,4,444,12,STARS
8822,50,14,1051.62,4,4,4,444,12,STARS
3362,27,21,1045.83,4,4,4,444,12,STARS
33,109,25,1045.47,4,4,4,444,12,STARS
7029,50,15,1044.98,4,4,4,444,12,STARS
20420,3,11,1042.48,4,4,4,444,12,STARS
6242,171,16,1040.48,4,4,4,444,12,STARS
3619,19,25,1039.79,4,4,4,444,12,STARS
20974,3,16,1031.04,4,4,4,444,12,STARS
6659,149,28,1028.69,4,4,4,444,12,STARS
17445,14,14,1027.25,4,4,4,444,12,STARS
619,42,36,1025.01,4,4,4,444,12,STARS
20964,28,8,1024.88,4,4,4,444,12,STARS
887,115,13,1024.84,4,4,4,444,12,STARS
3501,64,35,1022.77,4,4,4,444,12,STARS
4388,333,4,1020.38,3,4,4,344,11,BIG SPENDER
6394,2,12,1019.69,4,4,4,444,12,STARS
22356,105,8,1018.92,4,4,4,444,12,STARS
6674,20,21,1018.01,4,4,4,444,12,STARS
22753,23,13,1017.42,4,4,4,444,12,STARS
11756,14,25,1009.32,4,4,4,444,12,STARS
16719,52,12,1006.15,4,4,4,444,12,STARS
15641,37,31,1005.71,4,4,4,444,12,STARS
1745,60,11,1004.86,4,4,4,444,12,STARS
15375,2,21,1003.48,4,4,4,444,12,STARS
1817,63,21,999.69,4,4,4,444,12,STARS
5731,54,11,998.12,4,4,4,444,12,STARS
6120,62,21,991.31,4,4,4,444,12,STARS
2761,498,7,990.28,2,4,4,244,10,BIG SPENDER
6526,8,25,989.18,4,4,4,444,12,STARS
14023,64,18,985.37,4,4,4,444,12,STARS
13565,1,24,981.8,4,4,4,444,12,STARS
17463,78,15,980.41,4,4,4,444,12,STARS
5981,22,22,979.01,4,4,4,444,12,STARS
18638,12,26,977.79,4,4,4,444,12,STARS
13386,7,18,975.16,4,4,4,444,12,STARS
7684,49,6,975.1,4,4,4,444,12,STARS
15399,35,21,974.77,4,4,4,444,12,STARS
2829,230,11,967.58,3,4,4,344,11,BIG SPENDER
4272,16,13,959.91,4,4,4,444,12,STARS
2954,241,9,959.29,3,4,4,344,11,BIG SPENDER
11524,104,11,959.21,4,4,4,444,12,STARS
1890,48,30,958.55,4,4,4,444,12,STARS
1258,36,12,958.29,4,4,4,444,12,STARS
5600,27,20,955.58,4,4,4,444,12,STARS
7203,11,27,952.75,4,4,4,444,12,STARS
9973,200,17,944.7,4,4,4,444,12,STARS
11364,124,24,944.2,4,4,4,444,12,STARS
19667,8,15,943.73,4,4,4,444,12,STARS
3870,75,13,942.57,4,4,4,444,12,STARS
11341,109,17,940.48,4,4,4,444,12,STARS
1385,40,13,938.45,4,4,4,444,12,STARS
22085,18,24,935.59,4,4,4,444,12,STARS
14604,14,26,934.48,4,4,4,444,12,STARS
758,30,33,934.39,4,4,4,444,12,STARS
4159,94,36,931.68,4,4,4,444,12,STARS
22754,9,16,924.53,4,4,4,444,12,STARS
18300,6,23,923.06,4,4,4,444,12,STARS
7533,27,12,920.85,4,4,4,444,12,STARS
3883,4,14,919.74,4,4,4,444,12,STARS
23124,3,13,919.24,4,4,4,444,12,STARS
3314,17,21,919.1,4,4,4,444,12,STARS
5906,19,18,918.88,4,4,4,444,12,STARS
12601,4,17,913.94,4,4,4,444,12,STARS
9440,387,5,913.91,3,4,4,344,11,BIG SPENDER
1845,85,17,911.51,4,4,4,444,12,STARS
22918,109,8,911.23,4,4,4,444,12,STARS
23379,371,6,907.97,3,4,4,344,11,BIG SPENDER
9342,127,19,906.71,4,4,4,444,12,STARS
19441,166,15,905.5,4,4,4,444,12,STARS
1689,20,13,904.76,4,4,4,444,12,STARS
8125,19,33,901.89,4,4,4,444,12,STARS
11298,26,15,900.27,4,4,4,444,12,STARS
23074,33,13,896.44,4,4,4,444,12,STARS
16838,31,32,895.94,4,4,4,444,12,STARS
7901,238,13,895.42,3,4,4,344,11,BIG SPENDER
1903,123,4,894.52,4,4,4,444,12,STARS
12207,70,9,893.63,4,4,4,444,12,STARS
11749,13,19,893.29,4,4,4,444,12,STARS
3198,67,12,892.56,4,4,4,444,12,STARS
3713,44,14,890.49,4,4,4,444,12,STARS
4493,58,30,889.76,4,4,4,444,12,STARS
2921,47,14,888.04,4,4,4,444,12,STARS
21730,10,13,885.14,4,4,4,444,12,STARS
14348,5,15,883.56,4,4,4,444,12,STARS
15196,41,16,881.54,4,4,4,444,12,STARS
22949,45,6,879.65,4,4,4,444,12,STARS
2499,31,14,878.37,4,4,4,444,12,STARS
7426,34,18,878.11,4,4,4,444,12,STARS
825,162,6,876.69,4,4,4,444,12,STARS
9644,6,8,875.94,4,4,4,444,12,STARS
15303,36,11,871.5,4,4,4,444,12,STARS
3638,15,34,866.42,4,4,4,444,12,STARS
7571,140,12,863.24,4,4,4,444,12,STARS
4903,18,10,860.78,4,4,4,444,12,STARS
14749,68,9,860.1,4,4,4,444,12,STARS
8587,104,16,860.04,4,4,4,444,12,STARS
9908,1,42,857.8,4,4,4,444,12,STARS
19511,79,10,857.57,4,4,4,444,12,STARS
730,127,17,855.38,4,4,4,444,12,STARS
11245,334,5,853.52,3,4,4,344,11,BIG SPENDER
9869,29,21,850.16,4,4,4,444,12,STARS
15850,164,12,846.3,4,4,4,444,12,STARS
8529,487,2,846.23,2,3,4,234,9,BIG SPENDER
2536,5,20,843.86,4,4,4,444,12,STARS
9921,35,14,843.52,4,4,4,444,12,STARS
2275,32,7,842.45,4,4,4,444,12,STARS
3139,1,8,842.06,4,4,4,444,12,STARS
3064,114,17,841.93,4,4,4,444,12,STARS
7935,61,24,841.91,4,4,4,444,12,STARS
387,25,13,841.13,4,4,4,444,12,STARS
21838,1,17,840.92,4,4,4,444,12,STARS
20941,52,28,840.92,4,4,4,444,12,STARS
16379,16,18,838.89,4,4,4,444,12,STARS
15472,25,12,832.8,4,4,4,444,12,STARS
12127,9,19,831.75,4,4,4,444,12,STARS
7323,100,22,827.28,4,4,4,444,12,STARS
1991,83,17,820.39,4,4,4,444,12,STARS
5292,40,29,817.17,4,4,4,444,12,STARS
15842,30,10,816.66,4,4,4,444,12,STARS
12885,24,11,816.61,4,4,4,444,12,STARS
12242,12,18,814.99,4,4,4,444,12,STARS
17038,24,13,814.26,4,4,4,444,12,STARS
5131,20,14,814.21,4,4,4,444,12,STARS
6833,16,9,814.0,4,4,4,444,12,STARS
2389,3,14,810.83,4,4,4,444,12,STARS
3733,44,15,809.89,4,4,4,444,12,STARS
4328,21,14,808.2,4,4,4,444,12,STARS
15365,83,10,807.99,4,4,4,444,12,STARS
4993,10,9,805.56,4,4,4,444,12,STARS
16958,24,18,805.35,4,4,4,444,12,STARS
14229,116,24,804.85,4,4,4,444,12,STARS
16452,230,4,804.46,3,4,4,344,11,BIG SPENDER
13172,10,17,803.84,4,4,4,444,12,STARS
6042,0,22,803.11,4,4,4,444,12,STARS
5055,98,20,797.11,4,4,4,444,12,STARS
19060,25,34,796.75,4,4,4,444,12,STARS
2647,101,5,795.83,4,4,4,444,12,STARS
23454,31,18,795.68,4,4,4,444,12,STARS
17482,5,24,795.03,4,4,4,444,12,STARS
19791,120,8,794.86,4,4,4,444,12,STARS
22841,54,17,794.69,4,4,4,444,12,STARS
7391,196,13,794.28,4,4,4,444,12,STARS
5847,1,20,792.52,4,4,4,444,12,STARS
2429,23,16,792.09,4,4,4,444,12,STARS
17162,198,11,788.91,4,4,4,444,12,STARS
11482,14,6,787.6,4,4,4,444,12,STARS
22794,26,18,787.19,4,4,4,444,12,STARS
19395,51,12,787.06,4,4,4,444,12,STARS
22395,68,8,785.44,4,4,4,444,12,STARS
3051,52,20,785.11,4,4,4,444,12,STARS
9827,31,15,783.24,4,4,4,444,12,STARS
5477,42,25,782.66,4,4,4,444,12,STARS
22319,22,24,781.61,4,4,4,444,12,STARS
15744,162,10,780.74,4,4,4,444,12,STARS
797,3,16,775.93,4,4,4,444,12,STARS
21459,11,6,775.91,4,4,4,444,12,STARS
2957,44,15,775.82,4,4,4,444,12,STARS
7274,8,26,775.26,4,4,4,444,12,STARS
23060,11,6,774.41,4,4,4,444,12,STARS
2930,480,5,772.42,2,4,4,244,10,BIG SPENDER
10355,359,6,768.83,3,4,4,344,11,BIG SPENDER
5050,20,21,766.75,4,4,4,444,12,STARS
11462,51,4,766.57,4,4,4,444,12,STARS
20214,35,10,766.04,4,4,4,444,12,STARS
16467,0,14,765.81,4,4,4,444,12,STARS
7470,20,28,765.79,4,4,4,444,12,STARS
3206,4,12,765.37,4,4,4,444,12,STARS
19298,165,13,765.19,4,4,4,444,12,STARS
10218,26,7,762.9,4,4,4,444,12,STARS
20668,91,8,762.85,4,4,4,444,12,STARS
2266,55,16,761.68,4,4,4,444,12,STARS
14569,143,9,757.79,4,4,4,444,12,STARS
11292,46,9,755.46,4,4,4,444,12,STARS
4240,98,11,755.19,4,4,4,444,12,STARS
22228,99,8,752.66,4,4,4,444,12,STARS
9355,505,2,752.45,2,3,4,234,9,BIG SPENDER
18777,11,12,751.72,4,4,4,444,12,STARS
17421,46,11,750.82,4,4,4,444,12,STARS
14153,33,7,750.37,4,4,4,444,12,STARS
246,10,20,750.18,4,4,4,444,12,STARS
21770,1,17,749.87,4,4,4,444,12,STARS
1396,4,21,747.25,4,4,4,444,12,STARS
9132,117,17,746.54,4,4,4,444,12,STARS
1195,23,17,746.04,4,4,4,444,12,STARS
12568,16,9,745.71,4,4,4,444,12,STARS
4302,53,8,745.53,4,4,4,444,12,STARS
11527,25,20,740.87,4,4,4,444,12,STARS
9112,7,8,740.69,4,4,4,444,12,STARS
12295,20,22,738.48,4,4,4,444,12,STARS
21934,31,12,738.15,4,4,4,444,12,STARS
8008,205,8,736.77,4,4,4,444,12,STARS
6690,24,16,735.91,4,4,4,444,12,STARS
3176,30,5,732.93,4,4,4,444,12,STARS
2953,96,12,732.73,4,4,4,444,12,STARS
6482,14,11,731.04,4,4,4,444,12,STARS
4821,362,10,729.25,3,4,4,344,11,BIG SPENDER
13541,27,10,728.98,4,4,4,444,12,STARS
6322,15,13,728.5,4,4,4,444,12,STARS
21229,47,11,728.34,4,4,4,444,12,STARS
12902,38,6,726.47,4,4,4,444,12,STARS
2356,169,13,725.26,4,4,4,444,12,STARS
3537,235,2,722.32,3,3,4,334,10,BIG SPENDER
2158,35,12,721.91,4,4,4,444,12,STARS
21122,50,9,721.2,4,4,4,444,12,STARS
8358,152,11,720.53,4,4,4,444,12,STARS
9748,67,21,720.5,4,4,4,444,12,STARS
12845,83,14,719.92,4,4,4,444,12,STARS
10455,261,8,718.78,3,4,4,344,11,BIG SPENDER
12842,151,8,717.29,4,4,4,444,12,STARS
3475,15,23,716.7,4,4,4,444,12,STARS
11279,7,13,716.49,4,4,4,444,12,STARS
16865,273,15,715.89,3,4,4,344,11,BIG SPENDER
9884,236,16,711.45,3,4,4,344,11,BIG SPENDER
22314,112,4,710.32,4,4,4,444,12,STARS
13680,15,14,709.8,4,4,4,444,12,STARS
11475,8,12,709.63,4,4,4,444,12,STARS
19391,26,11,708.64,4,4,4,444,12,STARS
3285,16,9,706.0,4,4,4,444,12,STARS
1593,0,18,705.86,4,4,4,444,12,STARS
13439,3,21,705.33,4,4,4,444,12,STARS
4894,103,14,704.29,4,4,4,444,12,STARS
13603,24,21,704.14,4,4,4,444,12,STARS
5658,62,17,701.82,4,4,4,444,12,STARS
5804,7,15,698.49,4,4,4,444,12,STARS
6866,2,11,696.29,4,4,4,444,12,STARS
15177,47,10,694.41,4,4,4,444,12,STARS
14359,155,11,693.23,4,4,4,444,12,STARS
328,0,24,692.62,4,4,4,444,12,STARS
16809,51,14,690.8,4,4,4,444,12,STARS
9368,29,34,689.33,4,4,4,444,12,STARS
5509,20,14,687.66,4,4,4,444,12,STARS
19401,73,15,687.11,4,4,4,444,12,STARS
6830,37,19,686.53,4,4,4,444,12,STARS
11682,149,16,686.13,4,4,4,444,12,STARS
13820,193,6,685.78,4,4,4,444,12,STARS
546,33,5,685.46,4,4,4,444,12,STARS
5835,70,7,684.82,4,4,4,444,12,STARS
1726,12,19,683.79,4,4,4,444,12,STARS
19701,92,7,683.18,4,4,4,444,12,STARS
16498,7,12,681.96,4,4,4,444,12,STARS
6529,343,13,681.23,3,4,4,344,11,BIG SPENDER
21396,424,3,680.99,3,3,4,334,10,BIG SPENDER
16729,21,24,680.29,4,4,4,444,12,STARS
14599,15,17,677.01,4,4,4,444,12,STARS
8152,20,7,676.33,4,4,4,444,12,STARS
20695,72,15,676.11,4,4,4,444,12,STARS
22649,12,14,676.08,4,4,4,444,12,STARS
14184,20,16,675.99,4,4,4,444,12,STARS
23179,397,12,675.74,3,4,4,344,11,BIG SPENDER
3412,83,16,675.53,4,4,4,444,12,STARS
18764,39,17,675.44,4,4,4,444,12,STARS
15026,12,39,673.9,4,4,4,444,12,STARS
3559,49,13,673.63,4,4,4,444,12,STARS
9210,15,5,673.56,4,4,4,444,12,STARS
21345,18,10,671.5,4,4,4,444,12,STARS
16684,81,7,671.04,4,4,4,444,12,STARS
8583,27,28,670.71,4,4,4,444,12,STARS
659,27,17,670.0,4,4,4,444,12,STARS
15423,2,10,669.56,4,4,4,444,12,STARS
14208,88,8,667.62,4,4,4,444,12,STARS
4988,14,9,667.36,4,4,4,444,12,STARS
8992,6,9,666.23,4,4,4,444,12,STARS
22664,42,8,665.47,4,4,4,444,12,STARS
4195,22,24,665.3,4,4,4,444,12,STARS
16123,19,15,664.87,4,4,4,444,12,STARS
8797,14,18,664.83,4,4,4,444,12,STARS
4401,55,14,664.25,4,4,4,444,12,STARS
19662,88,9,664.11,4,4,4,444,12,STARS
22825,10,9,663.48,4,4,4,444,12,STARS
18445,67,7,663.27,4,4,4,444,12,STARS
22264,19,6,662.88,4,4,4,444,12,STARS
22268,12,8,661.35,4,4,4,444,12,STARS
13846,6,17,660.23,4,4,4,444,12,STARS
6218,7,12,660.1,4,4,4,444,12,STARS
14625,0,13,659.55,4,4,4,444,12,STARS
8852,130,15,659.42,4,4,4,444,12,STARS
10446,12,11,659.18,4,4,4,444,12,STARS
14589,132,10,658.8,4,4,4,444,12,STARS
11063,144,25,657.96,4,4,4,444,12,STARS
564,30,24,657.87,4,4,4,444,12,STARS
23191,105,14,657.78,4,4,4,444,12,STARS
6348,138,11,657.33,4,4,4,444,12,STARS
8688,63,11,656.76,4,4,4,444,12,STARS
11109,62,11,656.54,4,4,4,444,12,STARS
19066,49,9,655.87,4,4,4,444,12,STARS
1523,31,19,654.98,4,4,4,444,12,STARS
2533,35,8,654.0,4,4,4,444,12,STARS
20,528,2,653.01,1,3,4,134,8,BIG SPENDER
729,12,21,651.14,4,4,4,444,12,STARS
7856,53,5,650.49,4,4,4,444,12,STARS
10622,209,5,650.22,3,4,4,344,11,BIG SPENDER
13955,198,12,650.2,4,4,4,444,12,STARS
20170,138,15,649.94,4,4,4,444,12,STARS
48,17,20,649.93,4,4,4,444,12,STARS
18108,74,21,649.11,4,4,4,444,12,STARS
15518,32,8,647.75,4,4,4,444,12,STARS
14018,231,8,646.89,3,4,4,344,11,BIG SPENDER
14010,27,7,646.71,4,4,4,444,12,STARS
15929,75,15,646.18,4,4,4,444,12,STARS
3230,227,6,644.75,3,4,4,344,11,BIG SPENDER
4106,13,22,644.48,4,4,4,444,12,STARS
12637,150,26,643.83,4,4,4,444,12,STARS
13403,11,24,643.01,4,4,4,444,12,STARS
1719,202,13,642.44,4,4,4,444,12,STARS
7066,31,8,642.19,4,4,4,444,12,STARS
3936,12,12,642.02,4,4,4,444,12,STARS
11501,92,8,641.75,4,4,4,444,12,STARS
8712,46,7,641.69,4,4,4,444,12,STARS
2159,3,13,641.32,4,4,4,444,12,STARS
21847,34,18,640.85,4,4,4,444,12,STARS
9797,11,31,640.76,4,4,4,444,12,STARS
20200,287,15,640.49,3,4,4,344,11,BIG SPENDER
6153,23,9,639.36,4,4,4,444,12,STARS
4641,80,9,638.81,4,4,4,444,12,STARS
10560,119,6,638.32,4,4,4,444,12,STARS
7306,257,9,636.25,3,4,4,344,11,BIG SPENDER
16822,92,7,633.58,4,4,4,444,12,STARS
9237,130,17,633.53,4,4,4,444,12,STARS
9179,22,12,633.27,4,4,4,444,12,STARS
22861,4,15,632.71,4,4,4,444,12,STARS
6500,10,10,632.45,4,4,4,444,12,STARS
8969,14,8,630.54,4,4,4,444,12,STARS
9808,19,26,629.59,4,4,4,444,12,STARS
18532,13,12,625.3,4,4,4,444,12,STARS
4686,124,6,624.78,4,4,4,444,12,STARS
4165,5,22,624.24,4,4,4,444,12,STARS
5608,29,9,624.13,4,4,4,444,12,STARS
4209,206,9,624.04,4,4,4,444,12,STARS
8037,18,4,623.3,4,4,4,444,12,STARS
13493,4,8,622.64,4,4,4,444,12,STARS
18710,95,8,621.66,4,4,4,444,12,STARS
18619,6,23,621.12,4,4,4,444,12,STARS
5112,12,17,620.49,4,4,4,444,12,STARS
8144,66,29,620.34,4,4,4,444,12,STARS
8265,124,5,619.16,4,4,4,444,12,STARS
10823,101,12,618.15,4,4,4,444,12,STARS
5883,51,10,617.27,4,4,4,444,12,STARS
15246,94,15,615.33,4,4,4,444,12,STARS
11513,104,9,615.13,4,4,4,444,12,STARS
14019,16,5,615.04,4,4,4,444,12,STARS
16363,9,14,614.96,4,4,4,444,12,STARS
13212,285,7,613.94,3,4,4,344,11,BIG SPENDER
9034,221,23,613.69,3,4,4,344,11,BIG SPENDER
17240,8,8,613.56,4,4,4,444,12,STARS
16709,312,9,612.83,3,4,4,344,11,BIG SPENDER
17606,12,9,611.83,4,4,4,444,12,STARS
19158,82,7,610.76,4,4,4,444,12,STARS
8393,75,14,610.59,4,4,4,444,12,STARS
12215,124,8,609.79,4,4,4,444,12,STARS
6355,24,10,609.5,4,4,4,444,12,STARS
12455,20,17,608.82,4,4,4,444,12,STARS
5379,77,13,608.66,4,4,4,444,12,STARS
19448,23,12,607.8,4,4,4,444,12,STARS
1563,197,22,607.63,4,4,4,444,12,STARS
20656,4,16,606.9,4,4,4,444,12,STARS
17914,26,6,605.22,4,4,4,444,12,STARS
11249,91,5,604.63,4,4,4,444,12,STARS
4748,8,10,603.22,4,4,4,444,12,STARS
4678,98,6,602.93,4,4,4,444,12,STARS
2760,54,7,602.25,4,4,4,444,12,STARS
17280,1,22,601.76,4,4,4,444,12,STARS
824,18,12,600.37,4,4,4,444,12,STARS
3384,33,7,600.12,4,4,4,444,12,STARS
6789,32,7,598.99,4,4,4,444,12,STARS
